propertyCode,address,district,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity,distanceBeach,internet,zonaTranquila,distanceCoworking,safety,score,available,thumbnail
93694504,Salamanca,L'Eixample,Gran Vía,39.4672259,-0.3625637,1331,3,900,flat,38,True,1,1,good,True,1,3713,172,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/ef/62/5a/869861850.jpg
84116101,bailen,Extramurs,La Roqueta,39.4676007,-0.3791896999999999,426,1,1000,flat,98,True,3,2,good,True,1,4989,175,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/95/c0/632159785.jpg
87250277,Calle Convento Jerusalén,Extramurs,La Roqueta,39.4644758,-0.3803759,786,1,750,flat,60,True,2,1,good,True,1,5217,211,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/af/50/723437752.jpg
39749681,barrio Sant Francesc,Ciutat Vella,Sant Francesc,39.4711927,-0.3755944,141,5,1100,flat,100,True,2,2,good,True,1,4565,122,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/c5/96/272518306.jpg
95739518,barrio Aiora,Camins al Grau,Aiora,39.4626834,-0.3413614,3219,4,650,flat,65,True,1,1,good,False,1,2730,172,False,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/8b/34/926854507.jpg
95695727,barrio La Raiosa,Jesús,La Raiosa,39.4560323,-0.3816224,1719,4,900,flat,100,True,3,2,good,True,1,5758,232,False,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/7e/d8/925737786.jpg
32067482,"Calle de vicent sancho tello, 19",El Pla del Real,Mestalla,39.4696425,-0.3563754,1798,4,750,flat,75,False,2,1,good,True,1,3118,175,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/4a/b0/126090864.jpg
95416139,barrio Tormos,La Saïdia,Tormos,39.4899472,-0.3805036,2111,3,550,flat,68,True,2,1,good,False,1,4818,217,False,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/65/b5/922983140.jpg
95375922,Plaza de Nou Moles,L'Olivereta,Nou Moles,39.470683,-0.3947494,1503,2,750,flat,97,True,2,1,good,True,1,6165,184,False,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/99/f4/916698278.jpg
95336764,barrio Sant Francesc,Ciutat Vella,Sant Francesc,39.4702189,-0.3738556,307,2,750,flat,43,True,1,1,good,True,1,4458,122,False,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8a/a1/1e/915615260.jpg
95242977,CAMPOAMOR,Poblats Marítims,Beteró,39.4679786,-0.3402505999999999,3193,4,750,flat,73,True,2,1,good,True,1,2187,165,True,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/6e/48/913191648.jpg
95214822,Calle de Baldoví,Ciutat Vella,Sant Francesc,39.4701502,-0.3802525,280,3,950,flat,82,False,2,2,good,True,1,4981,161,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/99/f2/912290980.jpg
39689938,jaime beltran,Jesús,La Raiosa,39.458184,-0.3881187,1715,1,550,flat,27,True,1,1,good,True,1,6121,186,True,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/34/ea/264637244.jpg
95659301,barrio El Cabanyal-El Canyamelar,Poblats Marítims,El Cabanyal-El Canyamelar,39.4702981,-0.3280587,4222,2,790,flat,82,True,3,1,good,True,1,1515,139,True,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/4b/25/924602959.jpg
95648103,"MARINA, 13",Poblats Marítims,El Cabanyal-El Canyamelar,39.4726907,-0.3305934,4007,3,650,studio,55,True,0,1,good,False,1,1317,159,True,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/70/de/924295073.jpg
95577964,barrio En Corts,Quatre Carreres,En Corts,39.4567109,-0.3755013,1609,2,800,flat,96,True,2,1,good,True,1,5277,218,False,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/66/e5/926554193.jpg
95538561,barrio El Carme,Ciutat Vella,El Carme,39.4788105,-0.3804268999999999,897,5,960,duplex,86,True,2,2,good,False,1,4793,194,True,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/9b/b9/921263589.jpg
95350630,Calle MUSICO PEYDRO s/n,L'Eixample,Russafa,39.459867,-0.370761,1369,1,700,flat,50,True,1,1,good,False,1,4743,193,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/c3/aa/915974638.jpg
94751381,Calle d'Olimpia Arozena Torres,L'Olivereta,Nou Moles,39.4706401,-0.3931308,1365,3,650,flat,73,True,3,1,good,False,1,6031,184,True,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/03/2b/897103489.jpg
94750802,Calle de Carrícola,Jesús,La Creu Coberta,39.4537742,-0.3885569,2159,2,650,flat,65,True,2,1,good,True,1,6396,215,False,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/da/e7/897085593.jpg
95668655,barrio El Cabanyal-El Canyamelar,Poblats Marítims,El Cabanyal-El Canyamelar,39.4738907,-0.3318934,3904,3,650,studio,50,True,0,1,good,False,1,1244,159,True,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/fb/8c/924887803.jpg
95667998,barrio Torrefiel,Rascanya,Torrefiel,39.4961608,-0.3769997,2784,1,700,flat,70,True,3,2,good,True,1,4677,200,True,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/12/4a/d3/924873330.jpg
95642494,barrio La Creu del Grau,Camins al Grau,La Creu del Grau,39.4604733,-0.3406640999999999,3355,8,800,penthouse,95,True,3,1,good,True,1,2915,176,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/dd/6d/924163802.jpg
95612192,barrio Playa de la Malvarrosa,Poblats Marítims,Playa de la Malvarrosa,39.4811968,-0.3261068,4528,2,750,flat,60,True,1,1,good,True,1,296,210,True,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/5c/6f/923311205.jpg
95597129,barrio El Cabanyal-El Canyamelar,Poblats Marítims,El Cabanyal-El Canyamelar,39.4719998,-0.3295686,4092,2,790,flat,77,True,3,1,good,False,1,1361,139,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/37/5e/922889266.jpg
95594894,barrio El Mercat,Ciutat Vella,El Mercat,39.4704439,-0.3800614,253,3,900,flat,90,True,3,1,good,True,1,4956,161,True,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/21/81/922841921.jpg
92005225,barrio La Petxina,Extramurs,La Petxina,39.4735377,-0.3875722,926,3,695,flat,85,True,3,1,good,True,1,5493,182,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/0e/7f/828455943.jpg
95582628,barrio Russafa,L'Eixample,Russafa,39.4599977,-0.3672889,1503,2,800,flat,82,True,2,1,good,False,1,4491,202,True,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/32/3a/922503378.jpg
95577971,barrio Marxalenes,La Saïdia,Marxalenes,39.4815727,-0.3835536,1282,2,845,flat,87,False,3,1,good,True,1,5036,194,False,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/a0/76/922384344.jpg
95555739,barrio Russafa,L'Eixample,Russafa,39.4602116,-0.3723131,1284,4,800,penthouse,50,True,0,1,good,True,1,4834,193,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/b9/ee/921754903.jpg
95334799,Calle Fuente Podrida s/n,Poblats Marítims,El Cabanyal-El Canyamelar,39.465685,-0.3278982,4277,0,800,flat,60,True,1,1,good,True,1,2020,133,False,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/7f/f9/915568391.jpg
