OID_;propertyCode;avg_d_kbps;avg_u_kbps
936;85320130;161218;133320
937;95696646;134633;107507
938;95659463;239395;168481
939;95619212;192392;156624
940;83354430;110867;101976
941;95573229;182475;133296
942;95754313;194190;169942
943;95753427;121951;99378
944;90908340;214757;181489
945;95725144;153603;175411
946;95706407;214757;181489
947;95648047;146760;128405
948;95640121;192629;146979
949;91254837;157707;138799
950;85943640;161218;133320
951;95619325;192629;146979
952;93741208;182475;133296
953;81903840;250161;223406
954;86821012;197701;164489
955;95244012;155319;118234
956;94947039;250171;204394
957;95740192;340936;256320
958;95722100;209951;199592
959;95439429;225319;156737
960;95426099;242422;213850
961;95426098;213080;163989
962;95426094;173896;128253
963;95426068;171344;151598
964;95399144;158392;114125
965;88166168;222097;160916
966;94605689;162458;125231
967;95220775;257302;168351
968;95173906;352425;322900
969;95149043;216907;149969
970;95058116;153085;157151
971;95015619;18750;20925
972;94938636;192039;177069
973;94911170;198610;170636
974;94826766;179243;141167
975;93512228;250161;223406
976;93512206;250161;223406
977;94616782;182093;149480
978;94459805;185943;144533
979;94129521;231431;180607
980;94101806;222097;160916
981;95261689;215081;150368
982;93414300;125641;122257
983;93068807;134633;107507
984;93068699;134633;107507
985;89710149;194190;169942
986;89707000;194190;169942
987;89706317;194190;169942
988;89705355;194190;169942
989;88425744;194190;169942
990;88425561;194190;169942
991;84116278;110867;101976
992;89056905;196137;168472
993;28563137;153863;124068
994;88618780;239395;168481
995;95730064;187606;169334
996;91895518;139325;121662
997;95706062;215022;162452
998;95703884;224509;197692
999;91830583;153863;124068
1000;91336053;235232;202629
1001;82556790;157707;138799
1002;34909131;161218;133320
1003;95754233;188058;162998
1004;95742530;254628;192980
1005;95738756;182093;149480
1006;95734527;192629;146979
1007;95724185;241637;180676
1008;95724033;165200;144805
1009;95722194;155124;127485
1010;95573089;210662;148166
1011;95540646;188058;162998
1012;95463465;161218;133320
1013;94952253;136865;121366
1014;94804810;38160;23673
1015;94124780;162458;125231
1016;93682762;194190;169942
1017;93385526;139325;121662
1018;92227951;121951;99378
1019;91009334;121951;99378
1020;92070668;121951;99378
1021;90491639;121951;99378
1022;90368221;182093;149480
1023;90323746;187085;126346
1024;89938334;223844;163182
1025;89096789;121951;99378
1026;88497367;161218;133320
1027;85319686;139325;121662
1028;95688189;144479;72811
1029;95652778;231431;180607
1030;95589192;174620;130372
1031;95542158;172362;145622
1032;95754483;139325;121662
1033;95751757;136865;121366
1034;95748299;209951;199592
1035;95690403;173896;128253
