propertyCode,address,province,municipality,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift
88608099,Calle Mayor Nazaret,València,València,Poblats Marítims,es,Natzaret,39.4493965,-0.3347691,4373,1,625,flat,78,True,3,1,good,0.0
95645862,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.4517389,-0.37122089999999996,2216,7,950,flat,100,True,4,1,good,1.0
94198529,Calle del Conde de Montornes,València,València,Ciutat Vella,es,La Xerea,39.4748642,-0.3707851,692,1,750,flat,60,True,1,1,good,1.0
95619368,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4727383,-0.33104249999999996,3968,2,2000,flat,50,True,2,1,good,0.0
95619143,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4699383,-0.3332425,3778,2,2000,flat,50,True,2,2,good,0.0
95587806,Calle d'Ernest Anastasio,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4628366,-0.3333324,3879,3,700,flat,78,True,1,1,good,1.0
95587748,Calle ESCULTOR JOSÉ CAPUZ,València,València,Quatre Carreres,es,Mont-Olivet,39.4596546,-0.36202799999999996,1824,4,1000,flat,100,True,2,1,good,1.0
95581635,barrio Benimaclet,València,València,Benimaclet,es,Benimaclet,39.4841194,-0.35687199999999997,2267,1,700,flat,70,True,2,1,good,0.0
95568406,"Calle Avellanas, 11",València,València,Ciutat Vella,es,La Seu,39.4746411,-0.3743573,462,1,1500,studio,60,True,0,1,good,1.0
95568088,Calle de la Reina,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.472911,-0.3273621,4285,2,790,flat,67,True,3,1,good,0.0
95558572,barrio Campanar,València,València,Campanar,es,Campanar,39.4777146,-0.39954049999999997,2049,10,800,flat,90,True,3,2,good,0.0
95512761,barrio El Grau,València,València,Poblats Marítims,es,El Grau,39.4600873,-0.3355894,3779,1,1400,flat,97,True,3,1,good,0.0
95511499,Gran Via del Marqués del Túria,València,València,L'Eixample,es,Gran Vía,39.4647604,-0.37297369999999996,796,1,800,flat,65,True,1,1,good,1.0
86642069,CIUDAD GRAN TURIA s/n,València,València,Patraix,es,Vara de Quart,39.4616193,-0.4125732,3211,1,660,duplex,85,True,1,1,good,1.0
95334480,"CID, 110",València,València,L'Olivereta,es,Nou Moles,39.4698731,-0.4036278,2269,3,600,flat,85,True,3,1,good,1.0
95285806,"Calle Amador Martínez Rochína, 2",València,València,Campanar,es,Sant Pau,39.4858883,-0.4026339,2728,7,1100,flat,100,True,3,2,good,1.0
95261682,"Calle Santa Genoveva Torres, 2",València,València,Rascanya,es,Sant Llorenç,39.4949131,-0.3617223,2961,7,975,flat,100,True,3,2,good,1.0
95133031,Calle de l'Hedra,València,València,Ciutat Vella,es,El Mercat,39.4711492,-0.37839659999999997,99,2,700,flat,59,True,1,1,good,1.0
83878932,"Los Angeles, 87",València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4711249,-0.3310594,3963,bj,850,flat,80,True,1,1,good,0.0
94674793,Avenida del Puerto,València,València,Camins al Grau,es,Aiora,39.4632695,-0.3417578,3168,4,750,flat,95,True,3,2,good,1.0
94311737,Paseo Sierra Espadán s/n,València,Alboraya,La Patacona,es,,39.4865453,-0.32852349999999997,4518,7,1900,flat,90,True,2,2,good,1.0
83416192,"Calle Poeta Llombart, 4",València,València,Ciutat Vella,es,El Mercat,39.4724704,-0.37838659999999996,179,1,950,flat,50,True,1,1,good,1.0
94155298,"la paz, 16",València,València,Ciutat Vella,es,La Xerea,39.4733687,-0.3739343,377,4,1200,flat,90,True,3,1,good,1.0
36221589,"Calle del Peu de la Creu, 9",València,València,Ciutat Vella,es,El Pilar,39.4732088,-0.3807636,381,3,450,flat,45,False,1,1,good,1.0
35563634,"Pie de la Cruz, 9",València,València,Ciutat Vella,es,El Pilar,39.4732088,-0.3807636,381,6,800,penthouse,76,True,2,2,good,1.0
85567862,Avenida Mare Nostrum,València,Alboraya,La Patacona,es,,39.4902412,-0.327293,4784,,800,flat,80,False,2,1,good,
81458321,"ARQUITECTO LUCINI, 20",València,València,La Saïdia,es,Tormos,39.4906609,-0.3761408,2174,3,800,flat,97,True,3,2,good,1.0
95734874,Calle de Sant Jacint,València,València,Extramurs,es,La Petxina,39.4730287,-0.3895953,1081,3,570,flat,70,True,3,1,good,0.0
95734271,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.4714028,-0.3761294,100,1,750,flat,55,True,1,1,good,1.0
95723412,La Patacona,València,Alboraya,La Patacona,es,,39.4866238,-0.3292812,4462,6,774,flat,77,True,1,1,good,1.0
95722961,barrio Aiora,València,València,Camins al Grau,es,Aiora,39.4678462,-0.34906739999999997,2445,1,700,studio,80,True,0,1,good,1.0
95721825,barrio Sant Llorenç,València,València,Rascanya,es,Sant Llorenç,39.4915018,-0.36157419999999996,2634,6,1100,flat,100,True,3,2,good,1.0
95721517,barrio Ciutat Fallera,València,València,Benicalap,es,Ciutat Fallera,39.4999862,-0.3941016,3520,2,750,flat,86,True,4,2,good,1.0
95720845,barrio Ciutat Fallera,València,València,Benicalap,es,Ciutat Fallera,39.4970994,-0.3925858,3174,2,750,flat,86,True,4,2,good,1.0
95686420,Calle La Olivereta,València,València,L'Olivereta,es,Nou Moles,39.4731994,-0.39593229999999996,1621,1,600,flat,75,True,3,1,good,0.0
95676355,Calle de la Marina Baixa,València,València,Campanar,es,Sant Pau,39.4901765,-0.4059701,3250,5,1000,penthouse,95,True,2,2,good,1.0
95660463,santa clara,València,València,Ciutat Vella,es,Sant Francesc,39.4667781,-0.3741577,550,6,800,studio,47,True,0,1,good,1.0
95600342,Calle de Matías Perelló,València,València,L'Eixample,es,Russafa,39.4618977,-0.3690889,1241,2,800,flat,80,False,2,1,good,1.0
37373014,Calle de la Serra Martés,València,València,Benicalap,es,Benicalap,39.4878026,-0.3927458,2282,7,625,flat,74,True,3,1,good,1.0
95551486,Santa Clara,València,València,Ciutat Vella,es,Sant Francesc,39.4689656,-0.37426159999999997,350,7,800,studio,47,True,0,1,good,1.0
95465127,barrio Mestalla,València,València,El Pla del Real,es,Mestalla,39.4672437,-0.3563612,1843,5,800,flat,60,True,1,1,good,1.0
95429041,Calle Molinell,València,València,La Saïdia,es,Trinitat,39.4866675,-0.3686198,1879,1,700,flat,90,True,3,1,good,1.0
95406765,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4713108,-0.32755229999999996,4264,bj,1050,chalet,90,False,1,2,good,
95371029,Calle Historiador Diago,València,València,Extramurs,es,Arrancapins,39.4675763,-0.3844855,736,2,900,flat,70,True,2,1,good,1.0
95308715,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.4573262,-0.3717083,1605,3,745,flat,89,True,2,1,good,1.0
95220217,Calle de Santa Genoveva Torres,València,València,Rascanya,es,Sant Llorenç,39.4950491,-0.3631316,2922,11,1000,flat,89,True,2,2,good,1.0
95096672,barrio El Mercat,València,València,Ciutat Vella,es,El Mercat,39.4725551,-0.38086949999999997,350,3,900,flat,90,True,3,1,good,0.0
94959175,Calle del Conde de Altea,València,València,L'Eixample,es,Gran Vía,39.46744,-0.3631751,1274,2,900,flat,84,True,3,1,good,1.0
94893436,barrio Playa de la Malvarrosa,València,València,Poblats Marítims,es,Playa de la Malvarrosa,39.477325,-0.3288605,4208,1,750,flat,90,True,3,1,good,0.0
94686973,barrio El Mercat,València,València,Ciutat Vella,es,El Mercat,39.4734386,-0.3807914,399,4,1300,flat,85,True,1,1,good,1.0
94605965,barrio La Petxina,València,València,Extramurs,es,La Petxina,39.477016,-0.39197509999999997,1424,3,1000,flat,90,True,2,2,good,1.0
94310256,barrio Albors,València,València,Camins al Grau,es,Albors,39.4694191,-0.35233539999999997,2145,3,1800,flat,98,True,3,1,good,0.0
93806401,barrio La Seu,València,València,Ciutat Vella,es,La Seu,39.4739611,-0.374341,401,2,1450,flat,63,True,2,1,good,1.0
93203944,Calle Salinas s/n,València,València,Ciutat Vella,es,El Carme,39.476997,-0.37910859999999996,672,3,899,flat,50,True,1,1,good,0.0
93235118,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4655189,-0.3291505,4174,2,800,flat,70,True,2,2,good,0.0
93209925,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4647189,-0.33155049999999997,3985,2,900,penthouse,69,True,2,1,good,0.0
93178062,Calle del Pare Lluís Navarro,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4632189,-0.3313505,4035,2,850,flat,70,True,2,1,good,0.0
92792991,barrio Les Tendetes,València,València,Campanar,es,Les Tendetes,39.485523,-0.3852286,1741,1,1050,flat,83,True,3,1,good,0.0
95706371,barrio Benimaclet,València,València,Benimaclet,es,Benimaclet,39.4884489,-0.36025579999999996,2415,6,1000,penthouse,80,True,3,1,good,1.0
95660051,barrio Exposició,València,València,El Pla del Real,es,Exposició,39.4761016,-0.36489499999999997,1195,,900,flat,52,True,1,1,good,1.0
95658745,barrio Exposició,València,València,El Pla del Real,es,Exposició,39.474501599999996,-0.36489499999999997,1123,,1200,flat,80,True,2,2,good,1.0
95653578,Benimàmet,València,Benimàmet,,es,,39.5000005,-0.42100509999999997,4941,4,450,flat,69,True,3,1,good,0.0
95633152,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4720941,-0.3328324,3812,,775,flat,80,True,1,2,good,0.0
95632848,barrio Penya-Roja,València,València,Camins al Grau,es,Penya-Roja,39.4618471,-0.35589139999999997,2102,6,1300,flat,92,True,3,2,good,1.0
95596188,barrio Benimaclet,València,València,Benimaclet,es,Benimaclet,39.4843194,-0.35837199999999997,2185,,700,flat,70,False,2,1,good,0.0
95703586,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.4524581,-0.37412,2092,7,950,flat,100,True,4,1,good,1.0
93483238,Calle de Salvador Giner,València,València,Ciutat Vella,es,El Carme,39.48011,-0.37887000000000004,1009,,1100,flat,90,True,3,2,good,1.0
87471708,Denia,València,València,L'Eixample,es,Russafa,39.4631709,-0.3768723,884,3,650,flat,45,True,2,1,good,0.0
95749908,Avenida Gregorio Gea,València,Mislata,La Constitución - Canaleta,es,,39.475563,-0.42285619999999996,3946,3,600,flat,60,True,2,1,good,0.0
95733946,Calle los Naranjos,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4755058,-0.3265682,4376,2,790,flat,67,True,3,1,good,0.0
95727706,Calle d'Olimpia Arozena Torres,València,València,L'Olivereta,es,Nou Moles,39.4696563,-0.3928693,1351,2,750,flat,91,True,2,1,good,0.0
95727577,Paseo de l'Albereda,València,València,Camins al Grau,es,Penya-Roja,39.4551712,-0.34521799999999997,3271,3,750,flat,81,True,1,1,good,1.0
