propertyCode,address,province,city,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity
95614656,Calle de Salvador Pau s/n,Valencia,Valencia,Camins al Grau,España,Albors,39.4707267,-0.3535374,2034,1,850,flat,100,True,3,1,good,True,1
94437477,Calle de Xàtiva,Valencia,Valencia,Extramurs,España,La Roqueta,39.4690831,-0.3771617,226,5,650,flat,50,True,1,1,good,True,1
95517007,Calle Pintor Pascual Capuz,Valencia,Valencia,Patraix,España,Patraix,39.46215,-0.39636,1920,1,730,flat,70,True,2,2,good,True,1
94318830,Calle del mar,Valencia,Valencia,Ciutat Vella,España,La Xerea,39.4752634,-0.3740073,537,5,600,flat,50,True,1,1,good,True,1
95427818,Calle Arquitecto Alfaro,Valencia,Valencia,Poblats Marítims,España,El Grau,39.4631873,-0.3340894,3807,1,1400,flat,80,True,3,1,good,True,1
95427410,"Calle de l'Hospital, 22",Valencia,Valencia,Ciutat Vella,España,El Pilar,39.4710536,-0.3823374,437,3,700,flat,55,True,2,2,good,True,1
95414951,Paseo de la Alameda,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4558712,-0.3427179999999999,3414,3,750,flat,67,True,1,1,good,True,1
95385238,barrio Russafa,Valencia,Valencia,L'Eixample,España,Russafa,39.464709,-0.3743395,755,3,725,flat,55,True,1,1,good,False,1
95166059,Carricola,Valencia,Valencia,Jesús,España,La Creu Coberta,39.4522742,-0.3849569,2198,2,650,flat,70,True,2,1,good,True,1
94942347,Calle de Pere Aleixandre,Valencia,Valencia,Quatre Carreres,España,Mont-Olivet,39.4599315,-0.3612915,1849,3,670,flat,74,True,2,1,good,True,1
93512229,Avenida del Mestre Rodrigo,Valencia,Valencia,Campanar,España,Sant Pau,39.4857088,-0.4049193,2876,13,895,flat,95,True,2,2,good,True,1
95756312,Av. del Cid,Valencia,Valencia,L'Olivereta,España,Tres Forques,39.4702215,-0.3994757,1911,4,750,flat,85,True,3,1,good,True,1
95752523,barrio Penya-Roja,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4584279,-0.3525772,2544,7,1000,flat,97,True,3,2,good,True,1
95741733,Calle Pintor Peiró,Valencia,Valencia,El Pla del Real,España,Exposició,39.4759371,-0.3657384999999999,1122,4,900,flat,60,True,1,1,good,True,1
88608099,Calle Mayor Nazaret,Valencia,Valencia,Poblats Marítims,España,Natzaret,39.4493965,-0.3347691,4373,1,625,flat,78,True,3,1,good,False,1
95645862,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.4517389,-0.3712208999999999,2216,7,950,flat,100,True,4,1,good,True,1
94198529,Calle del Conde de Montornes,Valencia,Valencia,Ciutat Vella,España,La Xerea,39.4748642,-0.3707851,692,1,750,flat,60,True,1,1,good,True,1
95619368,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4727383,-0.3310424999999999,3968,2,2000,flat,50,True,2,1,good,False,1
95619143,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4699383,-0.3332425,3778,2,2000,flat,50,True,2,2,good,False,1
95587806,Calle d'Ernest Anastasio,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4628366,-0.3333324,3879,3,700,flat,78,True,1,1,good,True,1
95587748,Calle ESCULTOR JOSÉ CAPUZ,Valencia,Valencia,Quatre Carreres,España,Mont-Olivet,39.4596546,-0.3620279999999999,1824,4,1000,flat,100,True,2,1,good,True,1
95581635,barrio Benimaclet,Valencia,Valencia,Benimaclet,España,Benimaclet,39.4841194,-0.3568719999999999,2267,1,700,flat,70,True,2,1,good,False,1
95568406,"Calle Avellanas, 11",Valencia,Valencia,Ciutat Vella,España,La Seu,39.4746411,-0.3743573,462,1,1500,studio,60,True,0,1,good,True,1
